level_0,index,News,clean_news
163781,163923, 'Crime rate dips in west zone drastically,'crime rate dips west zone drastically
112077,112193, tally in hill districts higher than plains,tally hill districts higher than plains
225777,225969, quits BJP,quits bjp
45085,45153, 'Telugu New Year spurs jaggery biz in Salem,'telugu new year spurs jaggery biz salem
46773,46844, 'Man ends life after being rejected by GF’s family,'man ends life after being rejected gf’s family
168049,168195," ""Don't exceed judicious portions","""don't exceed judicious portions"
5930,5949, 1 arrested,arrested
160811,160951, 'Missing saroops: Sikh groups begin ‘morcha’,'missing saroops: sikh groups begin ‘morcha’
148132,148263, 'Rahul Gandhi must end ambiguity,'rahul gandhi must end ambiguity
153801,153937, 'Kolhapur district records 1,'kolhapur district records
207202,207378, 'Massive serosurvey covering 14,'massive serosurvey covering
42781,42849, 'MP political crisis: Congress mutiny reveals dangers of sidelining young turks,'mp political crisis: congress mutiny reveals dangers sidelining young turks
181619,181772, 'Punjab: Protest held during BJP leaders’ programme in Rajpura,'punjab: protest held during bjp leaders’ programme rajpura
7131,7151, 'At MSU,'at msu
170322,170470, senior doctor infected,senior doctor infected
6074,6093, 'Don’t make jallikattu profit oriented: Hiphop Tamizha,'don’t make jallikattu profit oriented: hiphop tamizha
74299,74391, 'Truck driver damages barricades,'truck driver damages barricades
129074,129193, 'Covid-19: 400 test positive on coast,'covid-19: 400 test positive coast
94978,95082, 'Lockdown drags car sales down by a whopping 87%,'lockdown drags car sales down whopping 87%
92407,92510, 'Government urged to open up Kodai tourism with restrictions,'government urged open kodai tourism with restrictions
86264,86363, 'Fungal diseases hit mango crop in Haridwar,'fungal diseases hit mango crop haridwar
157496,157634, 'Forest department starts online course on butterflies,'forest department starts online course butterflies
94233,94337, 'Not being allowed to draw water,'not being allowed draw water
141402,141527, 'Mysuru: Lovers commit suicide by jumping into river,'mysuru: lovers commit suicide jumping into river
181706,181859, 'Bihar polls: Nitish Kumar,'bihar polls: nitish kumar
185271,185432, 'Uttarakhand: Boosting ‘riparian wildlife’ latest focus of forest department,'uttarakhand: boosting ‘riparian wildlife’ latest focus forest department
164831,164974, more wait for Bhool Bhulaiya,more wait for bhool bhulaiya
23778,23818, 'Bengal toy retailers wary of hike in customs duty,'bengal toy retailers wary hike customs duty
205336,205510, 'AP: Rs 21 crore fine on two firms for permit violation,'ap: crore fine two firms for permit violation
8229,8252, 'digest,'digest
87294,87395, 'RMC successful in the fight against Covid-19: Civic chief,'rmc successful the fight against covid-19: civic chief
157875,158013, 'Mentally disturbed man reunited with family in Rajasthan,'mentally disturbed man reunited with family rajasthan
210285,210464, '600 staffers for medical college,'600 staffers for medical college
116104,116220, 5 other cities can’t land in Kolkata,other cities can’t land kolkata
58610,58692, kolis from Worli breach seal and set sail for Mahim,kolis from worli breach seal and set sail for mahim
54891,54971, 'Zoho accuses Freshworks of stealing,'zoho accuses freshworks stealing
173552,173701, 'Why outer areas got more SW monsoon rain,'why outer areas got more monsoon rain
113177,113293, 'Residents of Sundar Nagar protest over water scarcity,'residents sundar nagar protest over water scarcity
205439,205613, 'Woman immolates self in Jhunjhunu over harassment by in-laws,'woman immolates self jhunjhunu over harassment in-laws
179590,179743, day’s toll at 38,day’s toll
174586,174735, 'Uttarakhand govt to come up with new policy for water tax,'uttarakhand govt come with new policy for water tax
118153,118270, says MP CM Shivraj Singh Chouhan on portfolio allocation,says shivraj singh chouhan portfolio allocation
125286,125405, 'Few days respite from heavy rain after July 20: Met dept,'few days respite from heavy rain after july 20: met dept
199148,199318, 'One killed in clash; book accused under NSA,'one killed clash; book accused under nsa
182284,182438," ""BM Giriraj feels he's fortunate to direct V Ravichandran in his next""","""bm giriraj feels he's fortunate direct ravichandran his next"""
187431,187594, for and by the alumnae of IIM-A,for and the alumnae iim-a
149971,150103, 'Covid-19: 38 new cases take Nilgiris’ tally to 1,'covid-19: new cases take nilgiris’ tally
23018,23058, 'Nagpur: 100-fold rise in birth,'nagpur: 100-fold rise birth
97286,97392, 'UoM figures in global varsity ranking list,'uom figures global varsity ranking list
109488,109601, was ‘depressed’,was ‘depressed’
96817,96923, '‘Chandigarh fifth in Covid-19 deaths per million’,'‘chandigarh fifth covid-19 deaths per million’
19332,19370, but chill will not last long,but chill will not last long
24438,24479, teachers miffed,teachers miffed
132917,133038, 'Cong protests demolition of mosques and temple,'cong protests demolition mosques and temple
56269,56351, 'Delhi: Cooked meal twice a day for 12 lakh people at 2,'delhi: cooked meal twice day for lakh people
137390,137512, 'CB-CID gets one month to finish ‘custody death’ probe,'cb-cid gets one month finish ‘custody death’ probe
134472,134594, 'US reels as July cases hit new record,'us reels july cases hit new record
65555,65642, 'Lucknowites turn hair stylists for family members during lockdown,'lucknowites turn hair stylists for family members during lockdown
88362,88463, BSP to skip Cong-led oppn meeting,bsp skip cong-led oppn meeting
215399,215582, 'Hyderabad: RPF ASI held for raping minor,'hyderabad: rpf asi held for raping minor
97463,97569, Sanchaita lock horns on Twitter,sanchaita lock horns twitter
156096,156233, 'Old Goa churches to reopen,'old goa churches reopen
112358,112474, '90% recovery rate in Sitamarhi,'90% recovery rate sitamarhi
155086,155222, bus bookings resume as life limps back to normal,bus bookings resume life limps back normal
16745,16780, murder of Class VI girl,murder class girl
74485,74577,"’ flying kites with buddies in Jaipur was one of Irrfan's favourite pastimes""","flying kites with buddies jaipur was one irrfan's favourite pastimes"""
226154,226346, 'Hotel restaurants,'hotel restaurants
121820,121938, 'Daily-wage workers anxious over possible lockdown,'daily-wage workers anxious over possible lockdown
41655,41723, 'All-women crew ‘pilot’ three trains of equality,'all-women crew ‘pilot’ three trains equality
9451,9476, '7-year-old boy found murdered,'7-year-old boy found murdered
175265,175416, 'Controversial vlogger gets anticipatory bail,'controversial vlogger gets anticipatory bail
72710,72800, Rotary set up ideal vegetable market,rotary set ideal vegetable market
1179,1184, 'Yeh Rishta Kya Kehlata Hai update,'yeh rishta kya kehlata hai update
185224,185385, 'Coimbatore: Underage driving: 14-yr-old boy,'coimbatore: underage driving: 14-yr-old boy
139245,139368, 'Promoting cycling among residents goes in vain (edited,'promoting cycling among residents goes vain (edited
97683,97789, 'Kolkata: Malls chart Covid-19 SOP,'kolkata: malls chart covid-19 sop
555,559, 'AP public transport department gears up to meet Sankranti rush,'ap public transport department gears meet sankranti rush
204901,205075, sandalwood tree plantations get state nod,sandalwood tree plantations get state nod
151787,151922, '75% of moratorium companies are junk grade,'75% moratorium companies are junk grade
186665,186828, 'I play an introvert in Bheemasena Nalamaharaja: Priyanka Thimmesh,play introvert bheemasena nalamaharaja: priyanka thimmesh
82121,82216, 'Lockdown &amp; corona fear stopping them from bidding last goodbye to loved ones,'lockdown corona fear stopping them from bidding last goodbye loved ones
189522,189685, 'BJP public meet in Madurai throws caution to wind,'bjp public meet madurai throws caution wind
163971,164114, 'Freedom of expression with a sword? Delhi Court denies bail,'freedom expression with sword? delhi court denies bail
142094,142221, PM talks of sanitary pads,talks sanitary pads
203113,203285, 'Pranati Rai Prakash becomes the Indian Ice queen,'pranati rai prakash becomes the indian ice queen
185756,185917,010 cases in 24 hours,010 cases hours
152437,152573, 'DTC not in favour of RSRTC services in national capital,'dtc not favour rsrtc services national capital
195772,195938, 'Arnab Goswami seeks pre-arrest bail in second case,'arnab goswami seeks pre-arrest bail second case
183058,183216, 'Bheetargaon CHC wins award of Rs 7 lakh under Kayakalp scheme,'bheetargaon chc wins award lakh under kayakalp scheme
60391,60474, 'Corbett,'corbett
98001,98107, 'Covid-19: 42 people returned from Maharashtra push Kalaburagi tally to 552,'covid-19: people returned from maharashtra push kalaburagi tally 552
20048,20086, but Indo-SAT a good move’,but indo-sat good move’
59238,59321, '#GreenTherapy: Windowsill plants you can grow at home,'#greentherapy: windowsill plants you can grow home
200297,200468, 'Woman electrocuted after coming in contact with immersion rod,'woman electrocuted after coming contact with immersion rod
222598,222788,100 district panchayat seats,100 district panchayat seats
155463,155599, 'TN attracts investments,'tn attracts investments
2286,2293, buyers to get a refund,buyers get refund
70739,70829, 'Children join hands to dig a well in Belthangdy village,'children join hands dig well belthangdy village
337,338, 'A year of agriculture,year agriculture
222036,222225, deaths remain low,deaths remain low
128054,128173, 'Police martyr memorial comes up at Nargund,'police martyr memorial comes nargund
172965,173114, 'Ex-BJP MLA hosts gathering of upper caste men seeking ‘justice’ for Hathras gang rape accused,'ex-bjp mla hosts gathering upper caste men seeking ‘justice’ for hathras gang rape accused
361,364, 'GST: Kiran Bedi promulgates ordinance,'gst: kiran bedi promulgates ordinance
14149,14181, 'Alas,'alas
26629,26675, 'Dreaded criminal Pawan Pandit with bounty of Rs 1 lakh arrested by Delhi Police in Moradabad,'dreaded criminal pawan pandit with bounty lakh arrested delhi police moradabad
189648,189811, 'Child trafficking networks uncovered in Andhra Pradesh,'child trafficking networks uncovered andhra pradesh
79385,79480, '60% of Goans abroad who registered with NRI panel are in Gulf,'60% goans abroad who registered with nri panel are gulf
149050,149182, lawmakers mull over ways to hold session amid pandemic,lawmakers mull over ways hold session amid pandemic
109006,109119, 'Rakhra meets Dhindsas in Chandigarh,'rakhra meets dhindsas chandigarh
9504,9529, 'AAP-BJP spat over freebies gets shriller,'aap-bjp spat over freebies gets shriller
71029,71119, 'Fresh from leaves,'fresh from leaves
6727,6746, says won’t allow capital shift from Amaravati,says won’t allow capital shift from amaravati
180688,180841, after global study hit,after global study hit
217188,217373, 'Just a call away: Kamal on working with Rajini,'just call away: kamal working with rajini
57059,57141, 'With 4.5ql of goods,'with 4.5ql goods
191952,192117, 'GST figures hint at economic recovery in Nashik division,'gst figures hint economic recovery nashik division
172269,172418, 'Abundant rain claimed 133 lives in Karnataka this year,'abundant rain claimed 133 lives karnataka this year
94666,94770, 'Tamil Nadu intelligence chief who handled EPS-OPS feud retires on Sunday,'tamil nadu intelligence chief who handled eps-ops feud retires sunday
79763,79858, 'Madurai: Panchayat VP arrested for marrying minor girl,'madurai: panchayat arrested for marrying minor girl
192158,192323, '14 IIT-BHU profs among top scientists of world,'14 iit-bhu profs among top scientists world
126639,126758, five more deaths in Dharwad dist,five more deaths dharwad dist
139007,139130, 'Govt will take 50% beds in private hospitals if they flout rules: Telangana minister Eatala Rajender,'govt will take 50% beds private hospitals they flout rules: telangana minister eatala rajender
214954,215137, 'Neha Sharma shares a stunning throwback picture from her beach vacay,'neha sharma shares stunning throwback picture from her beach vacay
21054,21093, 'Shaktikanta Das named APAC ‘central banker of the year’,'shaktikanta das named apac ‘central banker the year’
83050,83146, 'Pune: FTII starts first online course,'pune: ftii starts first online course
112023,112139, 'Chennai: Army of young artists join to feed needy during lockdown,'chennai: army young artists join feed needy during lockdown
9776,9801, 'Nagpur: Vidarbha’s first winery uncorks in Bhandara,'nagpur: vidarbha’s first winery uncorks bhandara
133649,133771, addition to ECA admission rules,addition eca admission rules
206017,206191, 'Calcutta high court directs arrest in 2015 narco case,'calcutta high court directs arrest 2015 narco case
37863,37924, Jorabagan,jorabagan
166447,166591, 'Fraudsters arrested from B’luru,'fraudsters arrested from b’luru
118756,118874, 'Untraceable Covid-19 patients a new challenge for Haryana,'untraceable covid-19 patients new challenge for haryana
71801,71891, '4 test positive in Bhavnagar,test positive bhavnagar
196315,196482, 'Exclusive: Festivals are always about bonding with family: Sonam Kapoor Ahuja,'exclusive: festivals are always about bonding with family: sonam kapoor ahuja
109336,109449, 'Wife &amp; two sons thrash man over affair in Pune,'wife two sons thrash man over affair pune
40500,40567, 'Theatre troupe in soup for billboard,'theatre troupe soup for billboard
34480,34538," Pithoragarh's Gori valley""","pithoragarh's gori valley"""
220046,220234, 'BJP seeks to end war of words with AIADMK,'bjp seeks end war words with aiadmk
225191,225382, 'Jalgaon gets fresh list of 25 UK returnees,'jalgaon gets fresh list returnees
26045,26091, 'Classes yet to start at 5-yr-old KV,'classes yet start 5-yr-old
65813,65900, 'Biz shut. Small scale units struggle to pay wages,'biz shut. small scale units struggle pay wages
195786,195952, 'Ways managers can provide feedback during remote working,'ways managers can provide feedback during remote working
215130,215313, family protests in Guntur,family protests guntur
133291,133413, 'Amyra Dastur is making a conscious effort to choose different scripts,'amyra dastur making conscious effort choose different scripts
171039,171187, coconut,coconut
122429,122547, says collector Naval Kishore Ram,says collector naval kishore ram
59955,60038, 'Assorted veg bags yet to reach many residential areas,'assorted veg bags yet reach many residential areas
33255,33312, 'State reports its first swine flu death of 2020,'state reports its first swine flu death 2020
180625,180778, 'Dharani portal land applications put on hold,'dharani portal land applications put hold
84777,84873, which will bring back Indian migrants,which will bring back indian migrants
60650,60733, 'Quarantined people’s kin denied groceries,'quarantined people’s kin denied groceries
17485,17521, 'Panel seeks action against board of studies chairman,'panel seeks action against board studies chairman
89427,89529," assaults woman""","assaults woman"""
25089,25133, 'TMC returns guv’s ‘poll violence’ fire,'tmc returns guv’s ‘poll violence’ fire
60740,60823, 'Rajasthan HC quashes FIR against Twitter chief Jack Dorsey,'rajasthan quashes fir against twitter chief jack dorsey
198707,198877, air quality on Diwali improves,air quality diwali improves
188413,188576, 'Kerala: M Sivasankar to face serious charges in department inquiry,'kerala: sivasankar face serious charges department inquiry
115688,115804, 'Pharmacist,'pharmacist
121885,122003, 'One more accused booked under NSA,'one more accused booked under nsa
53766,53844, 'States nudge KT Rama Rao on migrants’ woes,'states nudge rama rao migrants’ woes
201672,201844,104 cases in one day,104 cases one day
206584,206759, 'Due to Covid-19,'due covid-19
185673,185834, 'Spa owner operating sex den arrested,'spa owner operating sex den arrested
111192,111306, '2 cousins found dead in well,cousins found dead well
184739,184900, transparent approvals,transparent approvals
109813,109926, 'Actor Dev Gill arranges buses to send migrant workers home,'actor dev gill arranges buses send migrant workers home
125999,126118, 'Sebi postpones new margin rules to December 1,'sebi postpones new margin rules december
182563,182720, 'Nashik city witnesses zero Covid death after two months,'nashik city witnesses zero covid death after two months
181368,181521, doctors prescribe,doctors prescribe
1479,1484, 'Lucknow: Bag onions at Rs 50/kg before prices go up,'lucknow: bag onions 50/kg before prices
143705,143832, 'Telangana govt promises 40,'telangana govt promises
121426,121544, 'Day of dubious distinction: Vid surpasses 200 deaths,'day dubious distinction: vid surpasses 200 deaths
551,555, 'Mumbai: Day after,'mumbai: day after
181618,181771, advise doctors,advise doctors
50344,50419, Ramdev eyes world record,ramdev eyes world record
88121,88222, one in Dakshina Kannada,one dakshina kannada
18340,18377, 'Students complain of fever,'students complain fever
193919,194085, 'How logistics and technology are changing the way customers buy,'how logistics and technology are changing the way customers buy
140017,140141," ""Death rate higher than Haryana’s because of 'koi gal nai spirit","""death rate higher than haryana’s because 'koi gal nai spirit"
124879,124998, 'Vijayawada: Special parcel trains to continue for next 6 months,'vijayawada: special parcel trains continue for next months
187806,187969, 'Ex-CM Devendra Fadnavis complains of Rs 400-crore job scam,'ex-cm devendra fadnavis complains 400-crore job scam
39733,39799, '49% startups hired fewer or no women in last 12 months,'49% startups hired fewer women last months
73063,73154, 'Decision on lifting lockdown difficult to make,'decision lifting lockdown difficult make
72908,72999, 'Woman doc in Idukki tests positive,'woman doc idukki tests positive
12491,12520, 'Smart City calendar launched by Doon mayor,'smart city calendar launched doon mayor
13624,13656," 'Malaika Arora poses for an amazing picture while ""lounging around very casually""","'malaika arora poses for amazing picture while ""lounging around very casually"""
220157,220345, 'NGOs collect 1,'ngos collect
107448,107560, 'Kolkata malls tackle virus with tech,'kolkata malls tackle virus with tech
130159,130279," ""No 'Bigg Boss' for me","""no 'bigg boss' for"
86186,86285, grandmom held for killing female baby with cactus sap,grandmom held for killing female baby with cactus sap
93209,93312, 'Woman commits suicide with 3 kids in Barmer district,'woman commits suicide with kids barmer district
66330,66418, 'Civic body buys three atomiser sprayers for disinfection drive,'civic body buys three atomiser sprayers for disinfection drive
174258,174407, live virtual darshan: Sabarimala panel,live virtual darshan: sabarimala panel
158810,158949, 'At 3.91%,'at 3.91%
193003,193168, 'KMC to fine owners for letting dogs &amp; cattle out on Kolhapur roads,'kmc fine owners for letting dogs cattle out kolhapur roads
190509,190673, pending cane dues,pending cane dues
72741,72832, C and D wards to face water cuts,and wards face water cuts
30074,30125, 'Centralized plant can solve sewage problem,'centralized plant can solve sewage problem
172887,173036, 'Hyderabad: Poll staff start scouting for booths in GHMC limits,'hyderabad: poll staff start scouting for booths ghmc limits
34596,34654, 'CM to lay foundation stone for govt med college in Virudhunagar,'cm lay foundation stone for govt med college virudhunagar
183584,183745," ""Payal Ghosh thanks 'Patel Ki Punjabi Shaadi' producer for standing by her""","""payal ghosh thanks 'patel punjabi shaadi' producer for standing her"""
161595,161736, 'Arms smuggler arrested,'arms smuggler arrested
168900,169046, 'Kerala IS jihadi who went to Iraq gets life in jail,'kerala jihadi who went iraq gets life jail
25484,25530, 'Speaker accused of shifting med college,'speaker accused shifting med college
123943,124061, 'Covid positivity rate increases in Nashik,'covid positivity rate increases nashik
174707,174858, docs booked,docs booked
90780,90882, says AAP leader Sanjay Singh,says aap leader sanjay singh
185354,185515, Time &amp; Sindoor Khela Rituals,time sindoor khela rituals
4960,4978, 'Kolkata: Light rain on Met radar tomorrow,'kolkata: light rain met radar tomorrow
146139,146267, Centre tells Karnataka HC,centre tells karnataka
40794,40861, Pune,pune
71615,71705, 'Madurai: Girl writes to PM offering land for burying Covid-19 warriors,'madurai: girl writes offering land for burying covid-19 warriors
159818,159958, 'AG-DMS metro station to sport fresh,'ag-dms metro station sport fresh
92784,92887, '42 passengers of Rajdhani Express test negative in second check,'42 passengers rajdhani express test negative second check
117653,117769, cops push for test shield for frontline workers,cops push for test shield for frontline workers
123092,123210, 'Allahabad University extends application submission date till July 31,'allahabad university extends application submission date till july
28790,28841, but I was real,but was real
115250,115366, 'Covid-19: Curbs slacken as infection spreads in Visakhapatnam,'covid-19: curbs slacken infection spreads visakhapatnam
113481,113597, 'Covid brings all planned metro projects to a stop,'covid brings all planned metro projects stop
183634,183795, 9% avail recast,avail recast
128018,128137, residents back indoors,residents back indoors
189115,189278, 'SCERT to appoint a bal rakshak in every village,'scert appoint bal rakshak every village
154726,154862, police after woman who claimed BJP MLA fathered her child booked for extortion,police after woman who claimed bjp mla fathered her child booked for extortion
39943,40009, 'Udaipur gang-rape: Cops uncover sex racket,'udaipur gang-rape: cops uncover sex racket
61245,61329, 'Vijayasai speaks to PM,'vijayasai speaks
167633,167779, 'Lost from COEP jumbo centre,'lost from coep jumbo centre
36945,37006, arrested for sexually abusing 10-year-old girl,arrested for sexually abusing 10-year-old girl
52950,53027, 'Rate of rise in positive cases ‘relatively stabilising’: Govt,'rate rise positive cases ‘relatively stabilising’: govt
107378,107490, 'Baba guided me at every step,'baba guided every step
155506,155642, '‘Complete post matric scholarship enquiry in 15 days’,'‘complete post matric scholarship enquiry days’
154344,154480, Swapnil Walke murder case shifted to crime branch,swapnil walke murder case shifted crime branch
221712,221901, nix govt offer,nix govt offer
225848,226040, 'Ayushmann Khurrana reveals his excitement for upcoming projects,'ayushmann khurrana reveals his excitement for upcoming projects
